level,group,timeframe,strategy,sizing,instrument,period,start,end,n_bars,bars_per_year,ann_ret_gross,ann_vol_gross,sharpe_gross,ann_ret_net,ann_vol_net,sharpe_net,max_dd_net,tstat_net,win_rate_net,profit_factor_net,trades_per_year,turnover_units_per_year,flag
instrument,crypto,1h,sma50_cross,fixed,BTC-USD,FULL,2024-07-08,2026-07-07,17482,8749.5000,0.2860,0.4685,0.6106,-0.9096,0.4705,-1.9334,-0.9114,-2.7330,0.1690,0.7363,598.0799,1195.6592,FRAGILE
instrument,crypto,1h,sma50_cross,fixed,BTC-USD,IS,2024-07-08,2025-12-01,12237,8749.5000,0.2848,0.4722,0.6031,-0.9186,0.4744,-1.9364,-0.8447,-2.2900,0.1615,0.7400,602.0319,1203.3489,FRAGILE
instrument,crypto,1h,sma50_cross,fixed,BTC-USD,OOS,2025-12-01,2026-07-07,5245,8749.5000,0.2890,0.4597,0.6286,-0.8888,0.4613,-1.9268,-0.5249,-1.4918,0.1864,0.7302,590.5275,1177.7188,FRAGILE
instrument,crypto,1h,sma50_cross,fixed,ETH-USD,FULL,2024-07-08,2026-07-07,17479,8748.0000,0.3522,0.6797,0.5182,-0.8915,0.6815,-1.3081,-0.9190,-1.8491,0.1794,0.8180,622.1032,1243.7058,FRAGILE
instrument,crypto,1h,sma50_cross,fixed,ETH-USD,IS,2024-07-08,2025-12-01,12234,8748.0000,0.2555,0.7059,0.3620,-1.0509,0.7077,-1.4849,-0.8696,-1.7560,0.1696,0.8012,653.5602,1306.4053,FRAGILE
instrument,crypto,1h,sma50_cross,fixed,ETH-USD,OOS,2025-12-01,2026-07-07,5245,8748.0000,0.5777,0.6144,0.9403,-0.5197,0.6161,-0.8436,-0.4977,-0.6532,0.2061,0.8713,550.3973,1097.4589,FRAGILE
instrument,crypto,1h,sma50_cross,fixed,SOL-USD,FULL,2024-07-08,2026-07-07,17481,8749.0000,0.8078,0.7991,1.0109,-0.3778,0.7991,-0.4728,-0.8677,-0.6683,0.1882,0.9278,593.0750,1185.6495,FRAGILE
instrument,crypto,1h,sma50_cross,fixed,SOL-USD,IS,2024-07-08,2025-12-01,12236,8749.0000,0.9031,0.8509,1.0614,-0.3060,0.8505,-0.3597,-0.7600,-0.4254,0.1879,0.9453,604.9068,1209.0985,FRAGILE
instrument,crypto,1h,sma50_cross,fixed,SOL-USD,OOS,2025-12-01,2026-07-07,5245,8749.0000,0.5855,0.6629,0.8832,-0.5454,0.6639,-0.8216,-0.5878,-0.6362,0.1882,0.8774,567.1409,1130.9457,FRAGILE
instrument,crypto,1h,sma50_cross,fixed,BNB-USD,FULL,2024-07-08,2026-07-07,17482,8749.5000,0.0601,0.5320,0.1130,-1.2877,0.5343,-2.4101,-0.9602,-3.4068,0.1641,0.6837,674.1536,1347.8068,FRAGILE
instrument,crypto,1h,sma50_cross,fixed,BNB-USD,IS,2024-07-08,2025-12-01,12237,8749.5000,0.0249,0.5645,0.0441,-1.3443,0.5666,-2.3727,-0.9117,-2.8060,0.1608,0.6811,684.9722,1369.2294,FRAGILE
instrument,crypto,1h,sma50_cross,fixed,BNB-USD,OOS,2025-12-01,2026-07-07,5245,8749.5000,0.1423,0.4470,0.3183,-1.1555,0.4500,-2.5677,-0.6176,-1.9880,0.1718,0.6942,650.5812,1297.8261,FRAGILE
instrument,crypto,1h,sma50_cross,fixed,XRP-USD,FULL,2024-07-08,2026-07-07,17482,8749.5000,1.0887,0.8497,1.2814,-0.2180,0.8509,-0.2562,-0.8958,-0.3622,0.1623,0.9556,653.6337,1306.7670,FRAGILE
instrument,crypto,1h,sma50_cross,fixed,XRP-USD,IS,2024-07-08,2025-12-01,12237,8749.5000,1.6400,0.9360,1.7521,0.3280,0.9374,0.3499,-0.7568,0.4138,0.1634,1.0640,656.3721,1312.0292,FRAGILE
instrument,crypto,1h,sma50_cross,fixed,XRP-USD,OOS,2025-12-01,2026-07-07,5245,8749.5000,-0.1973,0.6018,-0.3279,-1.4918,0.6024,-2.4765,-0.7102,-1.9175,0.1594,0.6637,648.9130,1294.4898,FRAGILE
instrument,crypto,1h,sma50_cross,fixed,ADA-USD,FULL,2024-07-08,2026-07-07,17479,8748.0000,0.7181,0.9324,0.7701,-0.5467,0.9336,-0.5855,-0.9495,-0.8277,0.1772,0.9091,632.6133,1264.7262,FRAGILE
instrument,crypto,1h,sma50_cross,fixed,ADA-USD,IS,2024-07-08,2025-12-01,12234,8748.0000,0.7797,1.0104,0.7717,-0.4923,1.0115,-0.4867,-0.8820,-0.5756,0.1820,0.9223,636.3989,1272.0826,FRAGILE
instrument,crypto,1h,sma50_cross,fixed,ADA-USD,OOS,2025-12-01,2026-07-07,5245,8748.0000,0.5742,0.7185,0.7991,-0.6734,0.7199,-0.9353,-0.6960,-0.7243,0.1653,0.8736,625.4515,1247.5672,FRAGILE
instrument,crypto,1h,sma50_cross,fixed,DOGE-USD,FULL,2024-07-08,2026-07-07,17480,8748.5000,0.7657,0.9043,0.8467,-0.4860,0.9057,-0.5367,-0.9285,-0.7586,0.1878,0.9167,626.1070,1251.7136,FRAGILE
instrument,crypto,1h,sma50_cross,fixed,DOGE-USD,IS,2024-07-08,2025-12-01,12235,8748.5000,1.3284,0.9884,1.3440,0.1093,0.9898,0.1104,-0.8493,0.1306,0.1923,1.0181,609.9269,1219.1387,FRAGILE
instrument,crypto,1h,sma50_cross,fixed,DOGE-USD,OOS,2025-12-01,2026-07-07,5245,8748.5000,-0.5471,0.6677,-0.8193,-1.8748,0.6693,-2.8012,-0.7507,-2.1689,0.1779,0.6510,665.5185,1327.7010,FRAGILE
instrument,crypto,1h,sma50_cross,fixed,AVAX-USD,FULL,2024-07-08,2026-07-07,17479,8748.0000,0.2889,0.8653,0.3338,-0.9959,0.8666,-1.1492,-0.9628,-1.6244,0.1752,0.8434,642.6230,1284.7456,FRAGILE
instrument,crypto,1h,sma50_cross,fixed,AVAX-USD,IS,2024-07-08,2025-12-01,12234,8748.0000,0.6616,0.9319,0.7099,-0.5962,0.9337,-0.6385,-0.8958,-0.7551,0.1818,0.9120,629.2483,1257.7815,FRAGILE
instrument,crypto,1h,sma50_cross,fixed,AVAX-USD,OOS,2025-12-01,2026-07-07,5245,8748.0000,-0.5806,0.6849,-0.8477,-1.9282,0.6849,-2.8154,-0.7673,-2.1800,0.1605,0.6444,675.4876,1347.6395,FRAGILE
instrument,crypto,1h,sma50_cross,fixed,DOT-USD,FULL,2024-07-08,2026-07-07,17481,8749.0000,0.8151,0.8581,0.9498,-0.3846,0.8590,-0.4477,-0.9302,-0.6329,0.1927,0.9305,600.0818,1199.6631,FRAGILE
instrument,crypto,1h,sma50_cross,fixed,DOT-USD,IS,2024-07-08,2025-12-01,12236,8749.0000,1.5296,0.8992,1.7010,0.4292,0.8997,0.4771,-0.7139,0.5642,0.2104,1.0845,550.5653,1100.4155,FRAGILE
instrument,crypto,1h,sma50_cross,fixed,DOT-USD,OOS,2025-12-01,2026-07-07,5245,8749.0000,-0.8519,0.7534,-1.1308,-2.2831,0.7552,-3.0232,-0.8118,-2.3408,0.1605,0.6575,717.2664,1431.1968,FRAGILE
instrument,crypto,1h,sma50_cross,fixed,LINK-USD,FULL,2024-07-08,2026-07-07,17479,8748.0000,0.0160,0.8701,0.0184,-1.2527,0.8715,-1.4375,-0.9858,-2.0319,0.1711,0.8051,634.6153,1268.7301,FRAGILE
instrument,crypto,1h,sma50_cross,fixed,LINK-USD,IS,2024-07-08,2025-12-01,12234,8748.0000,0.4408,0.9481,0.4650,-0.7640,0.9496,-0.8046,-0.9360,-0.9515,0.1874,0.8863,602.7913,1204.8675,FRAGILE
instrument,crypto,1h,sma50_cross,fixed,LINK-USD,OOS,2025-12-01,2026-07-07,5245,8748.0000,-0.9749,0.6526,-1.4938,-2.3925,0.6540,-3.6585,-0.8206,-2.8328,0.1385,0.5865,710.5129,1417.6900,FRAGILE
portfolio,crypto,1h,sma50_cross,fixed,EW_PORTFOLIO,FULL,2024-07-08,2026-07-07,17482,8749.5000,0.5200,0.5734,0.9070,-0.7349,0.5736,-1.2812,-0.8909,-1.8111,0.1868,0.8170,637.6182,1254.9417,FRAGILE
portfolio,crypto,1h,sma50_cross,fixed,EW_PORTFOLIO,IS,2024-07-08,2025-12-01,12237,8749.5000,0.7851,0.6040,1.2997,-0.4603,0.6042,-0.7619,-0.7351,-0.9011,0.2073,0.8932,627.7720,1245.4267,FRAGILE
portfolio,crypto,1h,sma50_cross,fixed,EW_PORTFOLIO,OOS,2025-12-01,2026-07-07,5245,8749.5000,-0.0983,0.4945,-0.1988,-1.3755,0.4948,-2.7796,-0.6481,-2.1521,0.1411,0.6456,662.2583,1277.1409,FRAGILE
instrument,crypto,1h,sma50_cross,volscaled,BTC-USD,FULL,2024-07-08,2026-07-07,17482,8749.5000,0.1789,0.1560,1.1471,-0.2733,0.1569,-1.7417,-0.5166,-2.4619,0.1654,0.7726,593.0750,452.2227,FRAGILE
instrument,crypto,1h,sma50_cross,volscaled,BTC-USD,IS,2024-07-08,2025-12-01,12237,8749.5000,0.2104,0.1559,1.3497,-0.2418,0.1568,-1.5420,-0.4153,-1.8237,0.1575,0.7987,594.8819,452.1835,FRAGILE
instrument,crypto,1h,sma50_cross,volscaled,BTC-USD,OOS,2025-12-01,2026-07-07,5245,8749.5000,0.1056,0.1563,0.6755,-0.3467,0.1572,-2.2063,-0.2454,-1.7082,0.1836,0.7144,590.5275,452.3141,FRAGILE
instrument,crypto,1h,sma50_cross,volscaled,ETH-USD,FULL,2024-07-08,2026-07-07,17479,8748.0000,0.2082,0.1577,1.3200,-0.1085,0.1583,-0.6856,-0.2721,-0.9691,0.1722,0.9061,619.1002,316.7242,FRAGILE
instrument,crypto,1h,sma50_cross,volscaled,ETH-USD,IS,2024-07-08,2025-12-01,12234,8748.0000,0.2196,0.1584,1.3864,-0.0984,0.1590,-0.6186,-0.2181,-0.7316,0.1630,0.9179,649.2698,317.9626,FRAGILE
instrument,crypto,1h,sma50_cross,volscaled,ETH-USD,OOS,2025-12-01,2026-07-07,5245,8748.0000,0.1816,0.1561,1.1629,-0.1323,0.1567,-0.8440,-0.1546,-0.6535,0.1970,0.8760,550.3973,313.8355,FRAGILE
instrument,crypto,1h,sma50_cross,volscaled,SOL-USD,FULL,2024-07-08,2026-07-07,17481,8749.0000,0.2326,0.1556,1.4947,-0.0301,0.1558,-0.1933,-0.2309,-0.2733,0.1896,0.9719,586.0682,262.7043,FRAGILE
instrument,crypto,1h,sma50_cross,volscaled,SOL-USD,IS,2024-07-08,2025-12-01,12236,8749.0000,0.2755,0.1557,1.7691,0.0303,0.1558,0.1942,-0.1248,0.2296,0.1863,1.0287,594.8965,245.2568,FRAGILE
instrument,crypto,1h,sma50_cross,volscaled,SOL-USD,OOS,2025-12-01,2026-07-07,5245,8749.0000,0.1324,0.1553,0.8527,-0.1710,0.1558,-1.0978,-0.1952,-0.8500,0.1971,0.8481,567.1409,303.4071,FRAGILE
instrument,crypto,1h,sma50_cross,volscaled,BNB-USD,FULL,2024-07-08,2026-07-07,17482,8749.5000,0.0923,0.1575,0.5857,-0.3904,0.1586,-2.4616,-0.5966,-3.4795,0.1660,0.7040,669.1488,482.6954,FRAGILE
