,ES=F,NQ=F,YM=F,GC=F,SI=F,HG=F,CL=F,NG=F,ZN=F,ZB=F,6E=F,6B=F,6A=F,ZC=F,ZS=F,ZW=F
ES=F,1.0,0.6400878491802765,0.34257080422939906,0.03479789443361977,0.01681737695594113,0.08048280824066298,0.10512655093086906,0.017929892205634842,0.11401506331285509,0.06391124675283295,0.04443019361151435,0.07948836810868323,0.11625617426467706,0.026635561241522564,-0.000538847693249056,0.011370233496456352
NQ=F,0.6400878491802765,1.0,0.041759767661784825,0.012892439313634646,0.015448843234727831,0.05375864301422622,0.07711679553540347,0.018089004292286843,0.07831742743971125,0.04882068531687212,0.03052677235065659,0.05003592888517252,0.08287143132735855,0.018551733911433044,-0.0023871934193635067,-0.0019726600902130946
YM=F,0.34257080422939906,0.041759767661784825,1.0,0.02682936546976117,0.028377226868454678,0.05600088388834447,0.06851719800248526,0.016139348920148178,0.007113251714802452,0.027172575764068636,0.012313048546551436,0.09149185129080725,0.06440114193160011,0.010697396737739041,0.01733473624144333,0.00748704302766315
GC=F,0.03479789443361977,0.012892439313634646,0.02682936546976117,1.0,0.3822939110009954,0.019337400350757636,0.07439944097519714,0.012993564919364368,0.0766875952565699,0.04476230065017958,0.12380495159687219,0.0998048648096609,0.043182510391158446,0.034090009131973346,-0.004578448610199236,0.0200444187712924
SI=F,0.01681737695594113,0.015448843234727831,0.028377226868454678,0.3822939110009954,1.0,0.16429677622764674,0.045583512491532974,-0.00677604694575818,0.027544108264982575,0.007399325238622629,0.054429388590135165,0.0871231439311478,0.11873782110438319,0.024491803750790415,0.012299648678364054,0.010784361284340386
HG=F,0.08048280824066298,0.05375864301422622,0.05600088388834447,0.019337400350757636,0.16429677622764674,1.0,0.08159345413680846,0.012409336207066461,0.006099050904056917,0.036986196927373566,0.03734174835801145,0.07150053857547782,0.16517728841764587,0.03166834845632665,0.009061902894141438,0.03044731990571204
CL=F,0.10512655093086906,0.07711679553540347,0.06851719800248526,0.07439944097519714,0.045583512491532974,0.08159345413680846,1.0,0.03982407984987,0.061072116015811764,0.05683875188983082,0.04978347327289246,0.07049369779969805,0.023153473901121734,0.05606481811149687,0.00869404948058265,0.04687517246673041
NG=F,0.017929892205634842,0.018089004292286843,0.016139348920148178,0.012993564919364368,-0.00677604694575818,0.012409336207066461,0.03982407984987,1.0,0.012747222010071484,0.00961575272887528,-0.011262200796429452,-0.02268935589386421,-0.0019932444119789747,0.004757287958362115,-0.002967441200542447,0.008525384349505677
ZN=F,0.11401506331285509,0.07831742743971125,0.007113251714802452,0.0766875952565699,0.027544108264982575,0.006099050904056917,0.061072116015811764,0.012747222010071484,1.0,0.6731878966037439,0.09100488234180924,0.03254273215671874,0.06561237813492451,-0.018239004100547237,0.004824466551475069,-0.003038846897201041
ZB=F,0.06391124675283295,0.04882068531687212,0.027172575764068636,0.04476230065017958,0.007399325238622629,0.036986196927373566,0.05683875188983082,0.00961575272887528,0.6731878966037439,1.0,0.07538027773131709,0.02054914980288007,0.057168985740887426,-0.009235785453655283,-0.002165281862325618,-0.004380670146275085
6E=F,0.04443019361151435,0.03052677235065659,0.012313048546551436,0.12380495159687219,0.054429388590135165,0.03734174835801145,0.04978347327289246,-0.011262200796429452,0.09100488234180924,0.07538027773131709,1.0,0.2422473474901362,0.14736061018484756,0.02089208524072576,0.0041707141356527085,0.036097888611752955
6B=F,0.07948836810868323,0.05003592888517252,0.09149185129080725,0.0998048648096609,0.0871231439311478,0.07150053857547782,0.07049369779969805,-0.02268935589386421,0.03254273215671874,0.02054914980288007,0.2422473474901362,1.0,0.09758953073627398,0.02282829458138065,0.0003062996326009842,0.03200644398527163
6A=F,0.11625617426467706,0.08287143132735855,0.06440114193160011,0.043182510391158446,0.11873782110438319,0.16517728841764587,0.023153473901121734,-0.0019932444119789747,0.06561237813492451,0.057168985740887426,0.14736061018484756,0.09758953073627398,1.0,-0.001855312622617951,0.011017205034897965,-0.008990014491816651
ZC=F,0.026635561241522564,0.018551733911433044,0.010697396737739041,0.034090009131973346,0.024491803750790415,0.03166834845632665,0.05606481811149687,0.004757287958362115,-0.018239004100547237,-0.009235785453655283,0.02089208524072576,0.02282829458138065,-0.001855312622617951,1.0,0.21735948895185395,0.0970653371478429
ZS=F,-0.000538847693249056,-0.0023871934193635067,0.01733473624144333,-0.004578448610199236,0.012299648678364054,0.009061902894141438,0.00869404948058265,-0.002967441200542447,0.004824466551475069,-0.002165281862325618,0.0041707141356527085,0.0003062996326009842,0.011017205034897965,0.21735948895185395,1.0,0.06205055749457568
ZW=F,0.011370233496456352,-0.0019726600902130946,0.00748704302766315,0.0200444187712924,0.010784361284340386,0.03044731990571204,0.04687517246673041,0.008525384349505677,-0.003038846897201041,-0.004380670146275085,0.036097888611752955,0.03200644398527163,-0.008990014491816651,0.0970653371478429,0.06205055749457568,1.0
