N,K,net_pnl,sharpe,pf,cagr,maxdd,trades,win_rate
20,2,-1473.9561338799158,0.04400664320124608,0.9862855784681509,-0.006103150152601211,-0.5239457613222374,3871,0.37535520537328854
20,3,7780.477848761755,0.25253840063540645,1.0779324737558764,0.022340661627779257,-0.28653171299718,2178,0.3824609733700643
20,4,4968.182940854589,0.22416390224204047,1.1200661957662708,0.015605293062255887,-0.2717819568162778,1374,0.38573508005822416
35,2,-1391.6902327420012,0.037904272785511874,0.9841099355302024,-0.005736679836324865,-0.479852954311899,3285,0.37321156773211567
35,3,7971.8891978159845,0.2592564040750145,1.0980264479161825,0.022761014384829137,-0.26339784896107177,2008,0.38296812749003983
35,4,5092.608846754658,0.22528342360475556,1.115873425982321,0.01592811928920157,-0.27446709018208504,1326,0.38235294117647056
50,2,6278.6536880309595,0.2016629542162911,1.0557427377315443,0.018882945297584275,-0.49654687153858096,2877,0.37365311087938824
50,3,8753.130853427469,0.27529356199506905,1.1173538900535909,0.02443318191755872,-0.22346911719945942,1878,0.3817891373801917
50,4,6258.693712248905,0.25748394965411553,1.1480855980845988,0.01883495494407894,-0.2315389422806384,1301,0.3712528823981553
75,2,6191.9437564268665,0.20520534308540697,1.0569669970597408,0.01867405352752871,-0.30710195094388515,2428,0.3776771004942339
75,3,8824.290337182472,0.2869579131025388,1.117196394926005,0.024582146666904947,-0.2855637670871571,1647,0.3928354584092289
75,4,6468.511209742952,0.2648955551546422,1.1518354263005426,0.019336617211575424,-0.2399892096909147,1202,0.37271214642262895
100,2,15000.533916560355,0.3426524944310469,1.126959830047403,0.03580442123802374,-0.26385899172194643,2115,0.38250591016548463
100,3,14195.01442258614,0.3936080148690669,1.171036034794401,0.03450288641606081,-0.2080618027061775,1456,0.39697802197802196
100,4,7893.352091873563,0.3099068238407908,1.173999959062481,0.022589064673863124,-0.19252688066247317,1104,0.38858695652173914
