market,trades,net_pnl,win_rate,avg_R,share_of_pnl
ES=F,99,-208.56106436982807,0.35353535353535354,-0.014333344574419293,-0.03431915036283063
NQ=F,73,1362.792790056944,0.4794520547945205,0.18695060086757925,0.22425034517666093
YM=F,47,-764.8268253715402,0.3404255319148936,-0.12162888804880864,-0.12585382080189242
GC=F,91,2304.2369750289786,0.45054945054945056,0.2809494229811737,0.37916691428744803
SI=F,99,2327.682807429394,0.36363636363636365,0.23358195672008564,0.3830249740358619
HG=F,79,532.0568982274717,0.3670886075949367,0.09379829109830234,0.08755105247962794
CL=F,88,527.5737376405825,0.4090909090909091,0.06406081857855139,0.08681333922165693
NG=F,95,302.4429928614846,0.35789473684210527,0.03893093065911729,0.04976761400580667
ZN=F,89,28.057947254223095,0.38202247191011235,0.0009025771271792826,0.004616992695158861
ZB=F,85,-325.4552630306838,0.38823529411764707,-0.051115269235072036,-0.05355433020095609
6E=F,66,83.6836383773952,0.3484848484848485,0.004451721208536082,0.013770314114287033
6B=F,74,-722.6660053749142,0.33783783783783783,-0.10348534344478133,-0.11891617150835648
6A=F,71,16.015028322780523,0.323943661971831,0.029829530060751425,0.002635305716027063
ZC=F,91,589.2291021621937,0.2857142857142857,0.04465297208325502,0.09695885574980531
ZS=F,70,288.71206290012174,0.4,0.09557823516393188,0.047508161353944964
ZW=F,79,-263.8702852927879,0.3291139240506329,0.01932101994165965,-0.04342039596224981
