market,dir,signal_date,entry_date,exit_date,entry_px,exit_px,contracts,gross_pnl,net_pnl,pnl_R,mae_R,mfe_R,bars_held,exit_reason,sig_own_i,ent_own_i,N,K
ZW=F,L,2000-09-28,2000-09-29,2000-10-20,259.625,259.375,0.08883666900299707,-1.1104583625374633,-1.2437133660419588,-0.016581524977507704,-0.09623206460160721,1.0437477776020476,15,gap_stop,51,52,50,4
HG=F,S,2000-11-13,2000-11-14,2000-11-28,0.8244999880790711,0.8593046160101045,0.6941971246784978,-60.403181588070886,-61.44447727508864,-0.8075280357426429,-0.5131925909924298,0.13685139820157283,8,stop,52,53,50,4
SI=F,S,2000-11-10,2000-11-13,2000-12-04,4.694999809265137,4.728872478973634,0.6139983543535693,-20.797763458579293,-21.718760990109647,-0.2853121179504949,-0.12099021949114241,0.7662589286921158,13,stop,51,52,50,4
NG=F,L,2000-11-13,2000-11-14,2000-12-13,5.861500133514404,7.475019260577023,0.008762136412978343,141.37874696272397,141.36560375810447,1.857883627413286,-0.27810086927182665,4.362666328250289,19,stop,52,53,50,4
ZS=F,L,2000-11-27,2000-11-28,2001-01-08,497.375,487.625,0.0806147227083141,-39.299677320303125,-39.420599404365596,-0.5170753770206846,-0.23130928164268866,0.8657575970054919,27,gap_stop,50,51,50,4
SI=F,S,2000-12-14,2000-12-15,2001-01-12,4.545000190734863,4.627000217437744,0.5062822108691021,-41.515154810459826,-42.27457812676348,-0.5433401548255733,-0.6832412717990411,0.35789134075783413,18,gap_stop,73,74,50,4
ZB=F,L,2000-12-05,2000-12-06,2001-01-12,102.734375,103.0543288890028,0.027206614566638303,8.704862137196255,8.664052215346299,0.11373711035237977,-0.05020572044622944,1.501163303254988,25,stop,52,53,50,4
CL=F,S,2000-12-05,2000-12-06,2001-01-16,29.99,30.268988267912423,0.16058050445518435,-4.480007679845528,-4.720878436528304,-0.06197320357148015,-0.04426850133927725,0.9464992804367138,26,stop,71,72,50,4
ZN=F,L,2000-12-05,2000-12-06,2001-01-25,102.99224090576172,104.00614206535151,0.045026373735090684,45.65229254213183,45.58475298152919,0.5984126077936995,-0.041578526644575994,2.073375012673542,33,stop,52,53,50,4
6E=F,L,2001-01-05,2001-01-08,2001-01-25,0.9574000073432922,0.9252273262680878,0.1804560036291812,-72.57191816084477,-72.84260216628854,-0.9182061500150429,-0.8217393743534626,0.1762892618779629,12,stop,76,77,50,4
ZC=F,L,2000-09-27,2000-09-28,2001-01-29,190.375,209.125,0.144728770948592,135.68322276430501,135.46612960788212,1.8062150614384282,-0.036182192737148,2.9548790735337533,57,gap_stop,50,51,50,4
ZW=F,L,2001-01-11,2001-01-12,2001-01-29,289.375,275.625,0.10811292675990591,-74.32763714743531,-74.48980653757518,-0.9559467529094349,-0.737077957159851,0.008671505378351187,10,gap_stop,114,115,50,4
ES=F,S,2000-11-30,2000-12-01,2001-01-31,1321.25,1390.7719658936498,0.126738905954005,-44.05568948566415,-44.24579784459517,-0.581282570159467,-0.5890086495333495,0.42458574029965834,40,stop,52,53,50,4
GC=F,S,2001-01-16,2001-01-17,2001-02-01,263.1000122070312,267.4430715327675,1.4491326077578017,-62.936688863510106,-65.1103877751468,-0.8493971034591304,-0.6616615678252447,0.056718562964875166,11,stop,93,94,50,4
SI=F,L,2001-01-26,2001-01-29,2001-02-05,4.807999973297119,4.672999973297119,0.5979442487249575,-80.72247357786914,-81.61938995095657,-1.083766672252265,-0.5399000207177096,0.0,5,gap_stop,101,102,50,4
GC=F,S,2001-02-08,2001-02-09,2001-02-26,260.4,262.1216443340003,1.1128696650084513,-19.15965753242615,-20.828962029938825,-0.28251201162712253,-0.3169807498355977,0.8150933567200962,10,stop,110,111,50,4
SI=F,S,2001-02-16,2001-02-20,2001-02-28,4.4130002212524415,4.526118563751555,0.608987026654782,-68.88760305865243,-69.8010835986346,-0.93777643624833,-0.4663551353302435,0.10636353185196784,6,stop,116,117,50,4
HG=F,S,2001-02-23,2001-02-26,2001-03-05,0.7974999780654908,0.8361336064395215,0.7814718117173052,-75.4777288966672,-76.64993661424316,-1.0288459306628444,-0.7211485291629878,0.03933468475858446,5,stop,120,121,50,4
ZB=F,L,2001-03-15,2001-03-16,2001-04-10,106.57817840576172,103.35703656736762,0.019669503242045153,-63.3582598333801,-63.38776408824317,-0.8505439359020965,-0.8124160573643111,0.1773122213519682,17,stop,120,121,50,4
ZN=F,L,2001-02-28,2001-03-01,2001-04-11,106.3984375,105.20616839642496,0.03052096403014251,-36.38920242446415,-36.43498387050936,-0.49421688419188764,-0.4689905059309559,0.4819184380226796,28,stop,109,110,50,4
SI=F,S,2001-03-01,2001-03-02,2001-04-16,4.40000020980835,4.437000160217285,0.4601060424880426,-17.02390075490907,-17.714059818641132,-0.24087368597835562,-0.7507746601949584,0.8133421985273583,30,gap_stop,124,125,50,4
ES=F,S,2001-02-21,2001-02-22,2001-04-18,1257.75,1230.4316109645156,0.1486576346057109,20.305435476268507,20.08244902435994,0.26912344406679434,-0.19174445565506706,1.6908374725946822,38,stop,107,108,50,4
NQ=F,S,2000-11-28,2000-11-29,2001-04-18,2642.25,1839.6930157740344,0.053650466367256525,86.11511298004399,86.03463728049311,1.1366939674687555,-0.5000814471723312,1.8163837113807215,95,stop,50,51,50,4
ZC=F,S,2001-04-20,2001-04-23,2001-05-07,201.875,204.375,0.151445796583871,-18.930724572983877,-19.157893267859684,-0.2610357740783194,-0.1418672685208257,0.7609244402480654,10,gap_stop,161,162,50,4
ZS=F,S,2001-01-29,2001-01-30,2001-05-08,459.375,440.625,0.06718137669811645,62.982540654484175,62.881768589436994,0.8405305255587517,-0.4097137310749792,1.6781425423482026,68,gap_stop,92,93,50,4
CL=F,S,2001-03-14,2001-03-15,2001-05-15,26.590000381469725,29.010653918111945,0.2037573357834605,-49.322591548103006,-49.628227551778195,-0.668922877156801,-0.6728631070151494,0.30210190492240324,42,stop,138,139,50,4
ZC=F,S,2001-05-11,2001-05-14,2001-05-15,191.125,201.875,0.14936854210326947,-80.28559138050734,-80.50964419366225,-1.1010601111478822,-0.038302183829355824,0.0,1,gap_stop,176,177,50,4
ZW=F,S,2001-05-10,2001-05-11,2001-05-15,256.125,279.625,0.09804498564301299,-115.20285813054028,-115.3499256090048,-1.5833868021376467,-0.025234596294161388,0.0,2,gap_stop,187,188,50,4
GC=F,L,2001-05-16,2001-05-17,2001-05-25,273.70000610351565,277.79999389648435,1.0203216075157266,41.83306135716685,40.30257894589325,0.5630525263825058,-0.01425453839085054,1.9528700194901207,6,gap_stop,177,178,50,4
SI=F,L,2001-05-23,2001-05-24,2001-05-30,4.615000133514404,4.417999858856201,0.38304397530777035,-75.45976834180065,-76.03433430476231,-1.0423842113794575,-0.4831214129094731,0.0,3,gap_stop,182,183,50,4
ZC=F,S,2001-05-29,2001-05-30,2001-06-07,189.125,199.305794214791,0.14443211309876575,-73.52168107329774,-73.7383292429459,-1.0187321931092375,-0.860517309499711,0.062356326775341385,6,stop,187,188,50,4
ES=F,L,2001-05-16,2001-05-17,2001-06-14,1289.25,1226.0799712464445,0.13057649280349484,-41.24260402467599,-41.43846876388124,-0.578921625790981,-0.4902634833692605,0.2736354325781919,19,stop,166,167,50,4
ZN=F,S,2001-04-16,2001-04-17,2001-06-14,104.13286590576172,105.16348993556609,0.02808945350079534,-28.94966576199221,-28.991799942243407,-0.39573492519457076,-0.5481474367438448,0.5541792963620951,41,stop,140,141,50,4
6B=F,S,2001-06-06,2001-06-07,2001-06-15,1.386099951171875,1.4027965916511997,0.3937491729023896,-41.0893023686417,-41.67992612799529,-0.5867447661103278,-0.3984040156660703,0.779476864205242,6,stop,93,94,50,4
CL=F,L,2001-05-15,2001-05-16,2001-06-20,29.190000305175783,26.853546722193684,0.21563533990870953,-50.38219625472671,-50.705649264589766,-0.705692757761514,-0.5822118604958657,0.30311038820325387,24,stop,181,182,50,4
ZB=F,S,2001-04-11,2001-04-12,2001-06-20,102.29692840576172,102.27417904219163,0.01960622207046917,0.4460290741169334,0.41661974101122967,0.005662794942301439,-0.2623285047075698,0.9452296380833279,47,stop,139,140,50,4
ZS=F,L,2001-06-14,2001-06-15,2001-06-25,470.875,446.625,0.07258695449005298,-88.01168231918923,-88.12056275092432,-1.2595467806916576,-0.9272816600026103,0.0,6,gap_stop,185,186,50,4
ZW=F,S,2001-06-21,2001-06-22,2001-07-11,254.625,262.375,0.08136969670620503,-31.530757473654447,-31.652812018713753,-0.45561418633502987,-0.18300698358572862,0.6807859789389105,12,gap_stop,215,216,50,4
6E=F,S,2001-05-11,2001-05-14,2001-07-18,0.8775999711990357,0.8669102027459804,0.24034769466010794,32.11576505177722,31.755243509787057,0.4342887401701698,-0.2259830904812802,1.7832091794230598,45,stop,162,163,50,4
ZS=F,L,2001-07-17,2001-07-18,2001-07-23,525.875,489.875,0.044624131609414384,-80.32343689694589,-80.39037309436002,-1.163517010151679,-0.5126514719999417,0.08476914103936045,3,gap_stop,207,208,50,4
CL=F,S,2001-06-20,2001-06-21,2001-08-07,26.539999237060545,28.40999961853028,0.21091548820359104,-39.44120433985903,-39.75757757216441,-0.5688104691145017,-0.5280737794353854,0.6035118054525354,32,gap_stop,206,207,50,4
