classifier,group,timeframe,instrument,window,bars_per_year,share_bull,drift_bull,vol_bull,ac1_bull,eff_bull,share_bear,drift_bear,vol_bear,ac1_bear,eff_bear,share_chop,drift_chop,vol_chop,ac1_chop,eff_chop,s1,kw_h,d_eff,d_ac1,n_bars,s1_null_mean,s1_null_p5,s1_null_p95,s1_z,s1_p,kw_h_null_mean,kw_h_null_p5,kw_h_null_p95,kw_h_z,kw_h_p,d_eff_null_mean,d_eff_null_p5,d_eff_null_p95,d_eff_z,d_eff_p,d_ac1_null_mean,d_ac1_null_p5,d_ac1_null_p95,d_ac1_z,d_ac1_p
ADX,crypto,1h,ADA-USD,FULL,8748,0.304001,0.000226,0.979848,-0.006424,0.219302,0.364043,-0.000061,1.033209,-0.010542,0.208536,0.331956,-0.000150,0.759098,0.022969,0.368562,0.000286,1.490193,-0.154643,-0.031452,17464,0.000028,-0.000260,0.000292,1.399132,0.059603,3.561969,0.485326,8.977339,-0.749966,0.781457,-0.149556,-0.181810,-0.118913,-0.266391,0.589404,-0.027964,-0.171848,0.044829,-0.060226,0.688742
ADX,crypto,1h,ADA-USD,IS,8748,0.311961,0.000342,1.060477,-0.025329,0.222725,0.360397,0.000033,1.137893,0.003239,0.202089,0.327641,-0.000171,0.798966,0.012729,0.367503,0.000309,2.841515,-0.155096,-0.023774,12224,,,,,,,,,,,,,,,,,,,,
ADX,crypto,1h,ADA-USD,OOS,8748,0.285360,-0.000074,0.735647,0.090173,0.209080,0.372590,-0.000270,0.745534,-0.072032,0.222008,0.342050,-0.000105,0.661711,0.055669,0.370863,0.000196,1.267802,-0.155319,-0.046599,5240,-0.000008,-0.000546,0.000522,0.635059,0.245033,2.734591,0.225380,10.053735,-0.499600,0.629139,-0.149071,-0.203809,-0.093742,-0.189331,0.622517,-0.028318,-0.138304,0.061811,-0.240643,0.688742
ER,crypto,1h,ADA-USD,FULL,8748,0.150949,0.000408,1.064854,-0.028293,0.324521,0.172963,-0.000017,1.034510,-0.030887,0.342137,0.676088,-0.000087,0.872714,0.010708,0.318414,0.000424,6.349707,0.014915,-0.040298,17464,0.000158,-0.000334,0.000639,0.961731,0.158940,4.143097,0.198628,11.503997,0.612203,0.238411,0.024631,0.001094,0.047288,-0.657434,0.754967,-0.032017,-0.095217,0.027282,-0.217783,0.582781
ER,crypto,1h,ADA-USD,IS,8748,0.157666,0.000571,1.147322,-0.043725,0.331826,0.158486,0.000143,1.158821,-0.023845,0.316890,0.683848,-0.000067,0.940683,0.003641,0.319244,0.000428,8.112198,0.005114,-0.037426,12224,,,,,,,,,,,,,,,,,,,,
ER,crypto,1h,ADA-USD,OOS,8748,0.135331,-0.000034,0.797816,0.057433,0.303103,0.206719,-0.000301,0.763024,-0.055754,0.390627,0.657950,-0.000138,0.680642,0.040959,0.315468,0.000267,0.280062,0.031397,-0.040119,5240,0.000103,-0.000715,0.000870,0.332164,0.377483,2.821843,0.138827,8.689968,-0.937821,0.920530,0.026872,-0.019424,0.069724,0.163304,0.437086,-0.031998,-0.113290,0.062517,-0.141609,0.529801
HMM,crypto,1h,ADA-USD,FULL,8748,0.242733,0.000301,1.496461,0.052270,0.175471,0.387720,-0.000059,0.731497,0.109864,,0.369547,-0.000136,0.570222,-0.079818,,0.000360,0.941895,,0.160885,17464,0.000217,-0.000165,0.000592,0.592864,0.231788,3.048526,0.143528,8.152890,-0.695935,0.741722,,,,,,0.081004,-0.183567,0.368914,0.479238,0.313333
HMM,crypto,1h,ADA-USD,IS,8748,0.290338,0.000350,1.555327,0.059222,0.180621,0.362944,0.000062,0.746540,0.103296,,0.346718,-0.000166,0.590692,,,0.000288,3.048157,,,12224,,,,,,,,,,,,,,,,,,,,
HMM,crypto,1h,ADA-USD,OOS,8748,0.131895,0.000050,1.147880,-0.015761,0.159378,0.445314,-0.000292,0.701543,0.120460,,0.422791,-0.000080,0.528884,,,0.000342,2.434407,,,5240,0.000215,-0.000447,0.000798,0.330759,0.344371,2.118503,0.106123,6.530248,0.151914,0.317881,,,,,,,,,,
ADX,crypto,1h,AVAX-USD,FULL,8748,0.316228,0.000076,0.841990,0.010405,0.212925,0.372768,-0.000152,0.958565,-0.004439,0.224024,0.311004,-0.000004,0.769031,-0.001756,0.374267,0.000228,0.620799,-0.155792,0.004739,17464,0.000063,-0.000250,0.000284,0.984415,0.178808,2.327803,0.137982,6.629825,-0.768968,0.721854,-0.151916,-0.183880,-0.119493,-0.194370,0.576159,-0.005978,-0.047153,0.033133,0.425155,0.344371
