group,timeframe,instrument,n_bars,vr2,vrz2,vr5,vrz5,vr10,vrz10,vr20,vrz20,vr40,vrz40,hurst,verdict
crypto,1d,ADA-USD,3162,0.9802,-0.4262,1.1384,1.4256,1.2170,1.7043,1.3992,2.4975,1.6027,2.7380,0.6168,TRENDING
crypto,1d,AVAX-USD,2116,1.0035,0.1129,1.0913,1.2692,1.2177,1.9872,1.3555,2.3325,1.6621,3.1813,0.6072,TRENDING
crypto,1d,BNB-USD,3162,0.9923,-0.1629,1.0537,0.5922,1.0727,0.5866,1.2759,1.6144,1.4894,2.1372,0.6000,RANDOM-WALK
crypto,1d,BTC-USD,4311,0.9773,-0.8808,0.9890,-0.2169,1.0254,0.3417,1.0933,0.8978,1.1967,1.3876,0.6037,RANDOM-WALK
crypto,1d,DOGE-USD,3162,1.0176,0.3268,1.0757,0.6297,1.1366,0.8398,1.2380,1.1528,1.3528,1.3716,0.5989,RANDOM-WALK
crypto,1d,DOT-USD,2147,0.9662,-1.0013,0.9600,-0.5255,0.9032,-0.8465,0.9516,-0.3081,1.1183,0.5594,0.5756,RANDOM-WALK
crypto,1d,ETH-USD,3162,0.9624,-1.3923,1.0172,0.3133,1.0779,0.9426,1.1546,1.3352,1.2571,1.6300,0.6004,RANDOM-WALK
crypto,1d,LINK-USD,3162,0.9475,-1.9318,0.9681,-0.5626,0.9917,-0.0975,1.0258,0.2135,1.0465,0.2739,0.5336,RANDOM-WALK
crypto,1d,SOL-USD,2279,0.9537,-1.2070,0.9805,-0.2534,1.0300,0.2709,1.1719,1.1479,1.4722,2.3769,0.6061,RANDOM-WALK
crypto,1d,XRP-USD,3162,0.9911,-0.2415,1.0475,0.6068,1.1826,1.6645,1.3106,2.0607,1.3154,1.5391,0.5770,TRENDING
crypto,1w,ADA-USD,453,1.0233,0.3755,1.3345,1.4832,1.1125,0.3515,1.0913,0.2280,1.2663,0.5489,0.6725,RANDOM-WALK
crypto,1w,AVAX-USD,304,1.1856,2.3917,1.3825,2.3801,1.6203,2.5454,1.5709,1.6750,,,0.6467,TRENDING
crypto,1w,BNB-USD,453,1.1156,1.1840,1.3190,1.5583,1.2656,0.9264,1.3794,1.0131,1.3078,0.6532,0.6623,RANDOM-WALK
crypto,1w,BTC-USD,617,1.0641,1.2612,1.1839,1.6218,1.2940,1.7071,1.5045,2.0367,1.6914,1.9953,0.6600,TRENDING
crypto,1w,DOGE-USD,453,1.1341,1.5523,1.2611,1.5293,1.1660,0.6628,1.3582,1.0015,1.5085,1.0629,0.6412,RANDOM-WALK
crypto,1w,DOT-USD,308,0.9564,-0.8805,1.0560,0.3880,1.2721,1.1754,1.3500,1.0418,,,0.5908,RANDOM-WALK
crypto,1w,ETH-USD,453,1.0917,1.9758,1.1921,1.6788,1.1449,0.7930,1.2361,0.8903,1.4769,1.2900,0.6545,TRENDING
crypto,1w,LINK-USD,453,1.0406,0.8337,1.0753,0.6216,0.8875,-0.5824,0.8343,-0.6050,0.8748,-0.3330,0.5583,RANDOM-WALK
crypto,1w,SOL-USD,327,1.1037,1.8055,1.4116,3.1765,1.7101,3.6072,1.8664,2.9893,,,0.6680,TRENDING
crypto,1w,XRP-USD,453,1.1168,1.6417,1.2243,1.2188,0.8089,-0.6928,0.6268,-1.0192,0.6702,-0.7119,0.5956,RANDOM-WALK
crypto,4h,BTC-USD,4372,0.9892,-0.5441,0.9779,-0.5002,0.9160,-1.2409,0.9268,-0.7604,0.9050,-0.7101,0.5597,RANDOM-WALK
crypto,4h,ETH-USD,4372,1.0235,1.0793,1.0475,1.0183,1.0117,0.1677,1.0390,0.4036,1.0329,0.2492,0.5732,RANDOM-WALK
futures,1d,CL=F,1760,1.0253,0.3801,0.9286,-0.5081,0.9553,-0.2138,1.1429,0.4878,1.2607,0.6621,0.5660,RANDOM-WALK
futures,1d,ES=F,1761,0.8482,-2.2071,0.8179,-1.2829,0.7959,-0.9780,0.8161,-0.6330,0.7293,-0.7281,0.5581,RANDOM-WALK
futures,1d,GC=F,1760,0.9788,-0.6805,0.9210,-0.9870,0.8100,-1.5860,0.7557,-1.4527,0.7567,-1.0653,0.5637,RANDOM-WALK
futures,1d,HG=F,1761,0.9549,-1.5040,0.9515,-0.7962,0.9056,-1.0548,0.8213,-1.4142,0.7543,-1.3113,0.5437,RANDOM-WALK
