group,timeframe,instrument,method,family,n_bars,n_segments,flips_py,dur_mean,dur_med,dur_p25,dur_p75,hit,fwd_bar,capture,hit_rem,rem_mean,dur_mean_null,dur_mean_z,dur_mean_p,dur_mean_n5,dur_mean_n95,dur_med_null,dur_med_z,dur_med_p,dur_med_n5,dur_med_n95,hit_null,hit_z,hit_p,hit_n5,hit_n95,fwd_bar_null,fwd_bar_z,fwd_bar_p,fwd_bar_n5,fwd_bar_n95,capture_null,capture_z,capture_p,capture_n5,capture_n95,flips_py_null,flips_py_z,flips_py_p,flips_py_n5,flips_py_n95,beats_null
crypto,1d,ADA-USD,sma50,50-SMA state,3113,174,20.29819,17.98266,5.00000,1.00000,27.00000,0.50353,0.00227,-0.01332,0.51906,0.12361,15.15206,1.68471,0.05794,12.46134,18.08144,4.36050,0.77138,0.35265,3.00000,6.00000,0.49893,0.52201,0.29171,0.48472,0.51334,0.00103,1.07225,0.14585,-0.00086,0.00301,0.04261,-1.34732,0.91009,-0.02438,0.11219,24.19828,-1.45306,0.06394,19.95260,29.10733,False
crypto,1d,ADA-USD,sma10_40,10/40 crossover,3123,90,10.40898,34.57303,28.00000,10.00000,47.00000,0.51345,0.00263,-0.14711,0.42169,0.18847,32.68724,0.65148,0.25974,28.13545,37.72012,26.08900,0.62704,0.30370,21.00000,31.00000,0.50092,1.43387,0.05794,0.48606,0.51426,0.00045,1.79089,0.03596,-0.00155,0.00247,-0.16281,0.43896,0.32867,-0.21737,-0.10428,11.15756,-0.76402,0.21079,9.59337,12.86915,False
crypto,1d,ADA-USD,donch20,Donchian,3127,73,8.40998,43.38889,37.00000,20.75000,53.00000,0.49584,0.00170,-0.07596,0.46691,0.23787,43.73502,-0.08634,0.48951,38.07073,51.01721,34.18000,0.71045,0.24176,28.47500,41.50000,0.49978,-0.44411,0.69331,0.48443,0.51404,0.00093,0.66044,0.25475,-0.00094,0.00287,-0.06140,-0.42609,0.67233,-0.11787,-0.00606,8.32341,0.11599,0.53846,7.09788,9.53853,False
crypto,1d,ADA-USD,donch55,Donchian,3107,24,2.70381,118.34783,78.00000,53.00000,169.50000,0.50837,0.00129,-0.05402,0.47017,0.34551,110.20052,0.51062,0.27772,87.54000,139.23409,86.77350,-0.54400,0.68432,64.50000,116.02500,0.49952,1.03261,0.15784,0.48504,0.51380,0.00066,0.51346,0.28571,-0.00136,0.00279,-0.05824,0.10926,0.46054,-0.12345,0.00380,3.28153,-1.21681,0.09590,2.51942,4.11715,False
crypto,1d,ADA-USD,tsmom20,TS momentum,3142,271,31.38686,11.62222,4.00000,2.00000,20.00000,0.50684,0.00339,0.03189,0.56590,0.12116,10.54578,1.23928,0.10589,9.19688,12.00824,3.93700,0.09833,0.76324,3.00000,5.00000,0.49907,0.86822,0.21279,0.48470,0.51338,0.00108,1.93297,0.03097,-0.00080,0.00306,0.02185,0.24517,0.40160,-0.04525,0.08845,34.69922,-1.16374,0.10989,30.35029,39.54259,False
crypto,1d,ADA-USD,tsmom60,TS momentum,3102,136,15.89579,22.58519,4.00000,1.00000,29.50000,0.50758,0.00128,0.03411,0.54084,0.24625,19.69288,0.94678,0.15684,15.21420,24.96129,4.17050,-0.17712,0.75125,3.00000,6.00000,0.49916,0.95947,0.17782,0.48482,0.51323,0.00068,0.49257,0.30070,-0.00124,0.00279,-0.00201,0.68291,0.23976,-0.08865,0.08307,18.74942,-0.99567,0.14585,14.48750,23.67470,False
crypto,1d,ADA-USD,tsmom120,TS momentum,3042,66,7.80449,43.01538,3.00000,1.00000,47.00000,0.52055,0.00251,-0.05370,0.44562,0.10278,28.94520,2.13394,0.02997,19.63982,41.31638,4.34200,-1.01648,0.98501,3.00000,7.00000,0.49891,2.41248,0.00999,0.48485,0.51382,0.00053,1.58241,0.06394,-0.00147,0.00264,-0.01198,-0.65394,0.74525,-0.11821,0.09425,12.91431,-1.79951,0.01798,8.64781,18.13639,True
crypto,1d,ADA-USD,swing5,Swing structure,3127,79,9.11081,40.05128,33.00000,19.25000,49.75000,0.49968,0.00225,-0.02883,0.52725,0.22509,41.90641,-0.46546,0.66833,35.95287,48.87578,32.58800,0.10597,0.47053,27.00000,39.50000,0.50038,-0.07843,0.53247,0.48488,0.51471,0.00087,1.20947,0.11289,-0.00094,0.00275,-0.06864,1.16835,0.12687,-0.12562,-0.01082,8.69181,0.51525,0.70829,7.37761,10.02937,False
crypto,1d,AVAX-USD,sma50,50-SMA state,2067,139,23.61493,14.64493,4.50000,1.00000,16.75000,0.50920,0.00310,0.12910,0.51460,0.14988,14.74520,-0.04949,0.46454,11.88356,18.18964,4.23150,0.24811,0.33267,3.00000,6.00000,0.50153,0.72316,0.23576,0.48378,0.51913,0.00083,1.71933,0.04496,-0.00127,0.00304,0.06131,1.28221,0.10190,-0.02438,0.15118,24.11600,-0.15654,0.44855,19.00381,29.45590,False
crypto,1d,AVAX-USD,sma10_40,10/40 crossover,2077,59,9.87733,35.01724,26.50000,16.00000,45.75000,0.50723,0.00212,-0.10160,0.40598,0.06378,32.68740,0.63934,0.26274,27.44365,39.29576,25.93800,0.14665,0.43556,20.00000,32.00000,0.50105,0.57003,0.27772,0.48337,0.51906,0.00048,1.21307,0.12188,-0.00180,0.00268,-0.16205,1.44576,0.06693,-0.22975,-0.09495,10.80333,-0.78640,0.20879,8.85980,12.77856,False
crypto,1d,AVAX-USD,donch20,Donchian,2072,43,7.16981,48.50000,41.50000,18.00000,62.75000,0.50507,0.00316,-0.04974,0.51078,0.23865,44.00144,0.91048,0.16284,36.79750,53.27649,34.15700,1.48274,0.07592,27.00000,43.00000,0.50041,0.44499,0.32767,0.48342,0.51739,0.00072,1.88928,0.03596,-0.00137,0.00298,-0.06725,0.43880,0.33367,-0.13477,-0.00269,7.99736,-0.94724,0.16883,6.49261,9.49604,False
crypto,1d,AVAX-USD,donch55,Donchian,2008,16,2.64226,115.86667,115.00000,66.50000,165.00000,0.50922,0.00266,-0.00511,0.45850,0.07495,110.72976,0.23683,0.33566,83.07708,146.92692,87.82900,1.23316,0.10290,61.97500,127.05000,0.50033,0.85548,0.19081,0.48389,0.51821,0.00046,1.57536,0.06094,-0.00170,0.00278,-0.06333,1.25077,0.10190,-0.13710,0.01629,3.15226,-0.91069,0.20280,2.25172,4.03809,False
