date,series_a,series_b
2003-05-31,63.414265,19.599024
2003-06-30,64.089729,19.768692
2003-07-31,65.245140,20.233961
2003-08-31,66.590836,21.106771
2003-09-30,65.864548,20.794073
2003-10-31,69.390121,22.233791
2003-11-30,70.147934,22.703140
2003-12-31,73.677299,23.879213
2004-01-31,75.133881,24.445118
2004-02-29,76.153503,24.910536
2004-03-31,75.144783,24.740799
2004-04-30,73.722954,24.157629
2004-05-31,74.985336,24.579994
2004-06-30,76.372658,25.326588
2004-07-31,73.912010,24.167892
2004-08-31,74.092079,24.143105
2004-09-30,74.835747,24.763018
2004-10-31,75.799973,25.350918
2004-11-30,79.174385,26.819778
2004-12-31,81.559227,27.814299
2005-01-31,79.730614,26.957569
2005-02-28,81.397255,27.531101
2005-03-31,79.908279,27.155579
2005-04-30,78.411186,26.287943
2005-05-31,80.937950,27.469791
2005-06-30,81.060555,27.891933
2005-07-31,84.162086,29.316423
2005-08-31,83.373085,29.060503
2005-09-30,84.042198,29.205402
2005-10-31,82.054504,28.423105
2005-11-30,85.661026,29.716761
2005-12-31,85.497116,29.874989
2006-01-31,87.550240,31.077677
2006-02-28,88.051521,31.182112
2006-03-31,89.504715,31.836065
2006-04-30,90.635345,32.110378
2006-05-31,87.905334,31.157482
2006-06-30,88.134583,31.069807
2006-07-31,88.529266,30.657087
2006-08-31,90.461159,31.496992
2006-09-30,92.903809,32.251671
2006-10-31,95.831825,33.464191
2006-11-30,97.737427,34.299183
2006-12-31,99.044334,34.493198
2007-01-31,100.533951,35.323830
2007-02-28,98.561783,35.156261
2007-03-31,99.703987,35.446003
2007-04-30,104.120430,37.008404
2007-05-31,107.652245,38.205761
2007-06-30,106.078270,37.496922
2007-07-31,102.756935,35.805149
2007-08-31,104.075584,35.834476
2007-09-30,108.104820,36.726738
2007-10-31,109.571396,37.138168
2007-11-30,105.327446,35.411671
2007-12-31,104.141403,34.806416
2008-01-31,97.844887,33.308834
2008-02-29,95.316315,32.305485
2008-03-31,94.463966,31.706285
2008-04-30,98.966347,33.520821
2008-05-31,100.462418,34.409576
2008-06-30,92.066154,31.022858
2008-07-31,91.238846,30.866770
2008-08-31,92.648842,31.780947
2008-09-30,83.923759,28.318481
2008-10-31,70.060699,22.397963
2008-11-30,65.184006,20.240299
2008-12-31,65.822571,20.864586
2009-01-31,60.417572,19.123365
2009-02-28,53.925785,16.976864
2009-03-31,58.418373,18.715363
2009-04-30,64.222000,22.213629
2009-05-31,67.976006,23.649200
2009-06-30,67.931503,23.366306
2009-07-31,72.999573,25.512579
2009-08-31,75.696175,26.953547
2009-09-30,78.380104,28.378273
2009-10-31,76.873222,27.328350
2009-11-30,81.609161,28.842373
2009-12-31,83.167961,30.172741
2010-01-31,80.145416,29.172840
2010-02-28,82.645546,30.394091
2010-03-31,87.676994,32.588978
2010-04-30,89.033356,33.454041
2010-05-31,81.959267,30.989008
2010-06-30,77.718613,29.034563
2010-07-31,83.026817,31.169916
2010-08-31,79.292244,29.687460
2010-09-30,86.393234,32.712105
2010-10-31,89.693626,33.877613
2010-11-30,89.693626,34.155491
2010-12-31,95.689850,36.620060
2011-01-31,97.919434,37.394096
2011-02-28,101.320923,38.895748
2011-03-31,101.333084,39.220310
2011-04-30,104.267838,40.448360
2011-05-31,103.098526,40.199650
2011-06-30,101.359291,39.475040
2011-07-31,99.331627,38.047947
2011-08-31,93.870789,35.630478
2011-09-30,87.354218,32.406605
2011-10-31,96.888695,36.641369
2011-11-30,96.494949,36.320438
2011-12-31,97.503181,36.377354
2012-01-31,102.024834,38.444614
2012-02-29,106.453278,39.985237
2012-03-31,109.877167,40.913113
2012-04-30,109.143692,40.605484
2012-05-31,102.589020,37.765942
2012-06-30,106.752182,39.223816
2012-07-31,108.015015,39.271347
2012-08-31,110.721016,40.475304
2012-09-30,113.527969,41.492710
2012-10-31,111.461960,41.150776
2012-11-30,112.092735,41.675613
2012-12-31,113.094261,42.620426
2013-01-31,118.883583,45.394131
2013-02-28,120.400368,45.833752
2013-03-31,124.972115,47.834129
2013-04-30,127.373093,48.644180
2013-05-31,130.380356,49.951534
2013-06-30,128.640503,49.336758
2013-07-31,135.288330,52.114819
2013-08-31,131.230698,50.592907
2013-09-30,135.383636,52.672256
2013-10-31,141.652817,54.926167
2013-11-30,145.851059,56.146019
2013-12-31,149.632507,57.765820
2014-01-31,144.358185,56.055145
2014-02-28,150.928757,59.046822
2014-03-31,152.180771,59.405293
2014-04-30,153.238739,59.633175
2014-05-31,156.794830,60.919106
2014-06-30,160.031830,62.661442
2014-07-31,157.881378,61.199268
2014-08-31,164.111954,63.772369
2014-09-30,161.847870,62.123428
2014-10-31,165.659439,64.000450
2014-11-30,170.210464,65.705399
2014-12-31,169.778717,65.890480
2015-01-31,164.748245,63.964390
2015-02-28,174.007858,67.627235
2015-03-31,171.274979,66.980927
2015-04-30,172.959320,67.253639
2015-05-31,175.182892,67.741219
2015-06-30,171.624573,66.203110
2015-07-31,175.501465,66.841843
2015-08-31,164.804550,63.191597
2015-09-30,160.599396,61.282421
2015-10-31,174.259995,65.564560
2015-11-30,174.896912,65.764496
2015-12-31,171.874283,64.131599
2016-01-31,163.317230,60.566849
2016-02-29,163.182343,61.169357
2016-03-31,174.158966,66.051979
2016-04-30,174.845322,66.876282
2016-05-31,177.819794,67.784645
2016-06-30,178.437805,67.741653
2016-07-31,184.945648,70.549110
2016-08-31,185.167175,70.658699
2016-09-30,185.177887,70.730011
2016-10-31,181.967422,69.003883
2016-11-30,188.670914,72.616959
2016-12-31,192.495560,73.433754
2017-01-31,195.940231,74.908516
2017-02-28,203.638992,77.256287
2017-03-31,203.893524,77.272362
2017-04-30,205.917389,77.782867
2017-05-31,208.823532,78.216782
2017-06-30,210.154785,79.127487
2017-07-31,214.474289,80.391113
2017-08-31,215.100067,79.588547
2017-09-30,219.434250,81.924225
2017-10-31,224.604996,82.815987
2017-11-30,231.470230,85.962967
2017-12-31,234.277542,87.030777
2018-01-31,247.481140,90.846909
2018-02-28,238.482635,86.858475
2018-03-31,231.945755,86.055870
2018-04-30,233.144470,86.375954
2018-05-31,238.811981,87.630302
2018-06-30,240.185364,88.481728
2018-07-31,249.083435,91.225891
2018-08-31,257.034119,93.014832
2018-09-30,258.562317,93.171310
2018-10-31,240.694534,86.419647
2018-11-30,245.159286,88.678932
2018-12-31,223.573380,80.208435
2019-01-31,241.473923,88.080109
2019-02-28,249.301437,91.309486
2019-03-31,253.814056,92.074127
2019-04-30,264.182892,95.380135
2019-05-31,247.335632,88.768143
2019-06-30,264.546844,95.469727
2019-07-31,268.546722,96.275650
2019-08-31,264.050201,93.131721
2019-09-30,269.188171,96.177048
2019-10-31,275.138397,97.360573
2019-11-30,285.097961,100.670876
2019-12-31,293.381622,103.393929
2020-01-31,293.263123,101.446144
2020-02-29,270.046722,92.448753
2020-03-31,236.325638,75.808067
2020-04-30,266.335052,86.743484
2020-05-31,279.024750,90.866806
2020-06-30,283.973114,92.194435
2020-07-31,300.696777,96.796906
2020-08-31,321.684448,100.928268
2020-09-30,309.639435,98.392860
2020-10-31,301.919037,97.846786
2020-11-30,334.760895,111.835304
2020-12-31,347.163208,116.481720
2021-01-31,343.625397,115.531891
2021-02-28,353.180115,122.564247
2021-03-31,369.214325,129.974762
2021-04-30,388.749542,136.048737
2021-05-31,391.302155,138.654480
2021-06-30,400.078064,138.693832
2021-07-31,409.844910,140.488113
2021-08-31,422.041870,143.819092
2021-09-30,402.372375,138.360092
2021-10-31,430.604248,145.692749
2021-11-30,427.144470,141.841690
2021-12-31,446.898895,150.737061
2022-01-31,423.328857,144.151855
2022-02-28,410.833496,142.864471
2022-03-31,426.276855,146.679413
2022-04-30,388.863037,137.137039
2022-05-31,389.740723,138.513504
2022-06-30,357.602539,125.514473
2022-07-31,390.533264,136.370682
2022-08-31,374.598724,131.620514
2022-09-30,339.968567,119.558624
2022-10-31,367.599762,131.093658
2022-11-30,388.035248,139.791916
2022-12-31,365.673401,133.225906
2023-01-31,388.669678,143.110519
2023-02-28,378.897430,138.271942
2023-03-31,392.946106,137.090729
2023-04-30,399.223358,137.583633
2023-05-31,401.066315,132.341568
2023-06-30,427.055328,142.463913
2023-07-31,441.034302,147.452606
2023-08-31,433.866547,142.730484
2023-09-30,413.286316,135.480850
2023-10-31,404.314484,129.877625
2023-11-30,441.246094,141.801193
2023-12-31,461.391296,151.474670
2024-01-31,468.739655,150.188385
2024-02-29,493.201630,156.264633
2024-03-31,509.330261,163.256073
2024-04-30,488.794342,155.380981
2024-05-31,513.517334,159.795654
2024-06-30,531.634338,158.986359
2024-07-31,538.071899,166.070496
2024-08-31,550.644409,170.202896
2024-09-30,562.210388,174.068680
2024-10-31,557.193542,171.280243
2024-11-30,590.420837,182.288269
2024-12-31,576.215332,170.849976
2025-01-31,591.690308,176.709732
2025-02-28,584.178955,175.676224
2025-03-31,551.628906,169.711227
2025-04-30,546.846191,165.704315
2025-05-31,581.212708,172.846237
2025-06-30,611.079041,178.774933
2025-07-31,625.153076,180.634094
2025-08-31,637.980957,185.542679
2025-09-30,660.706055,187.417297
2025-10-31,676.455688,185.668594
2025-11-30,677.774719,189.225281
2025-12-31,678.315247,190.007523
2026-01-31,688.312134,196.474701
2026-02-28,682.363708,203.308853
2026-03-31,648.668884,191.179596
2026-04-30,716.813293,202.655167
2026-05-31,754.536133,208.024368
2026-06-30,746.770020,212.770004
2026-07-31,747.030029,215.009995
