Ticker,Category,Tracks,Fee %,CAGR %,StDev %,Return/Risk,MaxDD %,Net CAGR %
VYM,Factor,High dividend yield,0.06,16.53,14.08,1.17,-14.1,16.47
VIG,Factor,Dividend growth (10yr),0.05,13.9,13.74,1.01,-20.2,13.85
QUAL,Factor,Quality,0.15,15.83,16.2,0.98,-27.8,15.68
SCHD,Factor,Dividend growth + quality,0.06,14.82,15.36,0.96,-15.7,14.76
RSP,Factor,S&P 500 equal weight,0.2,14.67,16.27,0.9,-20.7,14.47
USMV,Factor,Minimum volatility,0.15,10.15,12.31,0.82,-17.4,10.0
MTUM,Factor,Momentum,0.15,15.17,20.01,0.76,-30.2,15.02
SPLV,Factor,Low volatility,0.25,9.07,12.79,0.71,-14.4,8.82
AVDV,International,Intl small value,0.36,19.38,19.19,1.01,-27.3,19.02
VT,International,Total world incl US,0.05,14.8,14.97,0.99,-25.5,14.75
VEA,International,Developed ex-US (FTSE),0.03,14.11,16.31,0.87,-28.1,14.08
IDEV,International,Developed ex-US (MSCI),0.04,13.57,15.71,0.86,-27.5,13.53
EFA,International,EAFE (MSCI),0.33,13.4,15.74,0.85,-27.6,13.07
VGK,International,Europe,0.09,14.85,17.53,0.85,-31.0,14.76
VXUS,International,Total intl ex-US,0.08,12.62,15.2,0.83,-27.8,12.54
AVEM,International,Emerging (Avantis),0.33,12.93,17.04,0.76,-32.4,12.6
IEMG,International,"Emerging (MSCI, has Korea)",0.09,9.79,16.86,0.58,-34.6,9.7
VWO,International,"Emerging (FTSE, no Korea)",0.06,8.36,14.67,0.57,-31.9,8.3
VDE,Sector,Energy (broad),0.09,33.65,28.18,1.19,-17.1,33.56
XLE,Sector,Energy (S&P 500 only),0.08,32.97,28.28,1.17,-17.1,32.89
VTV,Style,Large value,0.04,16.94,14.35,1.18,-15.3,16.9
AVUV,Style,Small value (Avantis),0.25,21.55,23.2,0.93,-25.5,21.3
SCHG,Style,Large growth (Schwab),0.04,17.35,19.52,0.89,-31.8,17.31
VBR,Style,Small value (Vanguard),0.07,16.58,19.13,0.87,-18.7,16.51
VUG,Style,Large growth,0.04,16.37,19.88,0.82,-33.2,16.33
VIOV,Style,S&P 600 small value,0.1,16.15,21.8,0.74,-21.0,16.05
VOO,US broad,S&P 500,0.03,17.16,15.58,1.1,-23.9,17.13
IWB,US broad,Russell 1000,0.15,16.45,15.71,1.05,-24.6,16.3
VTI,US broad,US total market,0.03,16.36,15.88,1.03,-24.8,16.33
ITOT,US broad,US total market (iShares),0.03,16.36,15.9,1.03,-24.8,16.33
DIA,US broad,Dow 30 (price-weighted),0.16,14.58,15.06,0.97,-19.8,14.42
ONEQ,US broad,Nasdaq Composite,0.21,16.91,19.92,0.85,-32.1,16.7
QQQM,US broad,Nasdaq-100,0.15,18.46,22.36,0.83,-33.1,18.31
IJH,US broad,S&P MidCap 400,0.05,14.26,18.35,0.78,-21.6,14.21
IJR,US broad,S&P SmallCap 600,0.06,14.73,20.77,0.71,-23.1,14.67
IWM,US broad,Russell 2000 (small),0.19,13.18,21.21,0.62,-27.0,12.99
VXF,US broad,Extended mkt (VTI minus VOO),0.05,12.26,20.57,0.6,-33.2,12.21
