level,group,instrument,signal,sizing,window,n_days,sharpe_gross,sharpe_net,ann_ret_gross,ann_ret_net,ann_vol,max_dd_net,win_rate,profit_factor,t_stat_net,turnover_ann,af
instrument,forex,EURUSD,10,fixed,5y,1299,-0.313855,-0.405868,-0.026128,-0.033050,0.075739,0.210415,0.481110,0.932207,-0.921486,71.057011,252
instrument,forex,EURUSD,10,fixed,3y,777,-0.250583,-0.345644,-0.019454,-0.026009,0.069303,0.149240,0.474839,0.948019,-0.606931,66.247423,252
instrument,forex,EURUSD,10,fixed,1y,260,-1.515660,-1.662648,-0.090624,-0.099421,0.061823,0.115622,0.449612,0.754384,-1.688834,97.297297,252
instrument,forex,EURUSD,10,fixed,IS,1275,0.050089,-0.046950,0.000997,-0.006111,0.073330,0.184691,0.494462,0.992109,-0.105607,71.010989,252
instrument,forex,EURUSD,10,fixed,OOS,547,-0.750811,-0.854572,-0.054616,-0.061933,0.071795,0.147207,0.458716,0.860023,-1.259048,77.538462,252
instrument,forex,EURUSD,10,fixed,full,1822,-0.186831,-0.285827,-0.016035,-0.023210,0.072872,0.210415,0.483978,0.952534,-0.768558,72.929160,252
instrument,forex,EURUSD,10,vol,5y,1299,-0.257801,-0.358363,-0.049887,-0.064831,0.153949,0.384794,0.481110,0.940363,-0.813630,157.233076,252
instrument,forex,EURUSD,10,vol,3y,777,-0.298561,-0.401407,-0.055741,-0.070957,0.153853,0.339336,0.474839,0.939832,-0.704847,159.650283,252
instrument,forex,EURUSD,10,vol,1y,260,-1.378429,-1.530964,-0.186982,-0.205810,0.143722,0.239171,0.449612,0.771069,-1.555076,233.583196,252
instrument,forex,EURUSD,10,vol,IS,1275,0.303837,0.202200,0.034843,0.019297,0.150164,0.281557,0.496705,1.035139,0.454816,150.269237,252
instrument,forex,EURUSD,10,vol,OOS,547,-0.857794,-0.970968,-0.133973,-0.149860,0.154812,0.329153,0.458716,0.843637,-1.430534,183.850442,252
instrument,forex,EURUSD,10,vol,full,1822,-0.052162,-0.157502,-0.019032,-0.034749,0.151622,0.384794,0.485227,0.973598,-0.423505,160.256009,252
instrument,forex,EURUSD,20,fixed,5y,1299,0.149353,0.095498,0.008454,0.004375,0.075568,0.118331,0.484592,1.015211,0.216820,40.382126,252
instrument,forex,EURUSD,20,fixed,3y,777,0.297045,0.240739,0.018271,0.014366,0.069163,0.093101,0.484536,1.036180,0.422723,38.319588,252
instrument,forex,EURUSD,20,fixed,1y,260,-0.445695,-0.509691,-0.028974,-0.032934,0.061945,0.060832,0.490347,0.915955,-0.517718,40.864865,252
instrument,forex,EURUSD,20,fixed,IS,1275,-0.138641,-0.202815,-0.012659,-0.017330,0.073049,0.191327,0.482456,0.966103,-0.456201,47.274725,252
